nftId,ratioSum,avgRatio,nftId,tokenId,likes,contractAddress,tokenIdInt
87607,6.236947786,0.5197456488333333,87607,53406,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,53406
65301,6.236578856,0.5197149046666667,65301,980,37,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,980
76065,6.236452366,0.5197043638333333,76065,42981,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,42981
30680,6.23637858,0.519698215,30680,64160,3,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,64160
51379,6.236241548,0.5196867956666666,51379,82790,24,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,82790
70900,6.234987187,0.5195822655833333,70900,3831,13,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,3831
34724,6.234818534,0.5195682111666667,34724,67800,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,67800
10298,6.234481226,0.5195401021666667,10298,1926,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,1926
58968,6.234312572,0.5195260476666667,58968,89620,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,89620
69326,6.234175542,0.5195146285,69326,36896,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,36896
44365,6.234175542,0.5195146285,44365,76478,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,76478
86515,6.233869857,0.51948915475,86515,52423,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52423
55784,6.233701203,0.51947510025,55784,86755,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,86755
18387,6.233195242,0.5194329368333334,18387,2654,129,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,2654
17916,6.233026589,0.5194188824166667,17916,26125,125,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,26125
86175,6.232984426,0.5194153688333333,86175,52114,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52114
89020,6.232626037,0.5193855030833333,89020,54679,18,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,54679
91987,6.232626037,0.5193855030833333,91987,57349,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,57349
89883,6.231782769,0.51931523075,89883,55455,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,55455
8464,6.23167736,0.5193064466666667,8464,17619,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,17619
49578,6.23167736,0.5193064466666667,49578,81169,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,81169
59654,6.23167736,0.5193064466666667,59654,90237,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,90237
77225,6.2310343679999995,0.5192528639999999,77225,44031,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,44031
26110,6.230960582,0.5192467151666667,26110,60046,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,60046
59145,6.230960582,0.5192467151666667,59145,89780,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,89780
69473,6.230928959,0.5192440799166667,69473,37029,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,37029
34661,6.230834091,0.51923617425,34661,67744,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,67744
83299,6.23057057,0.5192142141666667,83299,49524,11,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,49524
69845,6.22969568,0.5191413066666667,69845,37366,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,37366
60831,6.22969568,0.5191413066666667,60831,91297,3,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,91297
46949,6.229632435,0.51913603625,46949,78803,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,78803
2461,6.228957821,0.5190798184166666,2461,12215,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,12215
81077,6.228852412,0.5190710343333333,81077,47522,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,47522
87038,6.228810249,0.5190675207500001,87038,52895,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,52895
90195,6.228810249,0.5190675207500001,90195,55736,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,55736
80733,6.228641595,0.51905346625,80733,47211,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,47211
4564,6.228494023,0.5190411685833333,4564,14108,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,14108
94516,6.228494023,0.5190411685833333,94516,59625,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,59625
1147,6.228430778,0.5190358981666666,1147,11032,5,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,11032
73712,6.227724541,0.5189770450833333,73712,40860,28,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,40860
32315,6.22747156,0.5189559633333333,32315,65632,1,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,65632
52601,6.226480721,0.5188733934166666,52601,83890,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,83890
70780,6.226480721,0.5188733934166666,70780,38211,170,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,38211
50879,6.226428016,0.5188690013333334,50879,8233,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,8233
42899,6.226428016,0.5188690013333334,42899,75158,0,0x39ceaa47306381b6d79ad46af0f36bc5332386f2,75158
